gene_symbol,NK.27+11b-.Sp#1,NK.27+11b-.Sp#2,NK.27+11b+.Sp#1,NK.27+11b+.Sp#2,NK.27-11b+.Sp#2,NKT.19-8-TCRb+CD1daGalCerTet+.Lu#1,NKT.19-8-TCRb+CD1daGalCerTet+.Lu#2,NKT.19-8-TCRb+CD1daGalCerTet+.Sp#1,NKT.19-8-TCRb+CD1daGalCerTet+.Sp#2,NKT.19-8-TCRb+CD1daGalCerTet+.Sp#3,NKT.19-8-TCRb+CD1daGalCerTet+.Lv#1,NKT.19-8-TCRb+CD1daGalCerTet+.Lv#2,NKT.19-8-TCRb+CD1daGalCerTet+.Lv#3,T.4.Nve.Fem.Sp#1,T.4.Nve.Fem.Sp#2,T.4.Nve.Sp#1,T.4.Nve.Sp#2,T.8.Nve.Sp#1,T.8.Nve.Sp#2,Tgd.Sp#3,Tgd.Sp#4
0610005C13Rik,1,2,0,2,4,15,5,2,1,1,4,5,5,5,6,4,1,4,1,1,7
0610006L08Rik,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0
0610009B22Rik,52,35,43,53,17,19,31,40,30,29,24,32,31,23,18,76,26,52,24,66,69
0610009E02Rik,2,1,4,1,5,3,3,4,2,0,4,5,4,8,6,3,0,11,0,2,2
0610009L18Rik,10,8,18,12,21,22,20,13,7,4,5,11,17,46,12,25,2,14,14,23,11
0610010F05Rik,131,106,217,230,305,23,34,22,18,10,40,24,30,22,48,57,41,81,64,116,74
0610010K14Rik,51,11,34,24,20,11,13,21,23,21,15,20,18,40,35,52,21,56,19,53,32
0610012D04Rik,28,19,22,28,27,0,3,4,0,0,7,0,5,4,4,17,10,9,0,4,14
0610012G03Rik,315,89,248,209,193,190,228,344,329,262,261,297,249,267,114,242,78,267,148,339,128
0610025J13Rik,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0610030E20Rik,581,228,400,402,456,312,318,742,490,444,525,518,498,551,379,517,278,365,286,522,197
0610031O16Rik,0,0,0,0,0,0,0,11,2,1,1,5,1,4,0,10,0,0,1,0,0
0610033M10Rik,1,0,0,4,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0
0610038B21Rik,9,13,6,20,8,10,9,26,34,24,28,66,25,8,9,4,20,9,4,10,7
0610039K10Rik,0,3,5,4,2,1,2,5,4,0,1,0,0,0,0,2,0,0,0,0,0
0610040B10Rik,23,10,16,14,40,56,31,13,7,18,3,21,29,36,14,32,4,26,15,17,2
0610040F04Rik,3,1,5,1,0,2,1,3,0,1,1,2,4,0,0,0,1,0,0,0,0
0610040J01Rik,0,0,1,0,0,0,0,1,16,2,4,1,4,2,2,1,1,0,0,10,0
0610043K17Rik,2,4,6,5,2,0,1,13,3,4,3,1,3,7,4,2,2,21,9,8,12
0710001A04Rik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1010001B22Rik,2,0,0,1,2,4,2,1,1,4,0,0,5,8,3,0,0,0,0,1,0
1100001I12Rik,0,0,7,2,0,0,0,3,1,0,0,0,0,4,3,0,2,0,0,0,0
1110002E22Rik,0,3,3,0,0,0,0,0,3,0,2,0,0,0,3,0,0,0,0,0,5
1110002J07Rik,3,0,0,0,0,0,0,3,0,0,0,9,0,0,4,0,2,4,4,0,0
1110002L01Rik,41,19,15,36,49,9,19,19,24,19,19,15,12,29,56,35,21,48,36,66,45
1110002O04Rik,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0
1110003F10Rik,14,3,9,5,3,7,0,1,2,2,3,6,2,17,12,6,2,11,14,11,5
1110004F10Rik,655,305,480,488,347,507,460,700,776,519,708,828,746,729,330,695,325,695,397,687,396
1110006O24Rik,18,13,16,5,22,11,14,13,23,18,8,15,9,24,16,22,3,14,2,12,1
1110008E08Rik,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0
1110008P14Rik,196,89,148,127,138,165,172,211,172,149,190,261,198,165,69,155,73,99,57,115,67
1110012L19Rik,199,69,83,117,106,121,118,134,106,104,100,89,130,106,86,92,61,87,59,117,64
1110013H19Rik,9,0,0,1,0,0,11,5,1,4,0,5,0,4,0,19,0,2,6,0,1
1110015O18Rik,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
1110017D15Rik,0,4,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
1110018N20Rik,0,0,0,1,0,0,2,4,0,2,0,0,0,0,2,0,0,0,0,0,0
1110019B22Rik,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110019D14Rik,17,0,28,3,1,5,4,15,6,3,0,5,5,3,4,20,3,21,1,4,8
1110020A21Rik,6,4,17,0,5,0,7,15,1,15,13,6,6,18,11,21,8,11,4,16,12
1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1110025M09Rik,4,7,3,1,2,0,5,5,1,2,0,3,4,3,0,4,4,6,2,0,0
1110028F11Rik,7,8,7,9,13,0,1,2,2,0,5,7,10,0,0,8,0,0,0,0,0
1110028F18Rik,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2
1110032A03Rik,96,46,64,45,45,82,33,62,82,54,50,54,36,79,26,69,36,78,35,74,14
1110032F04Rik,0,0,0,0,0,0,2,0,0,0,4,0,0,42,33,64,17,1,6,20,4
1110035H17Rik,7,6,5,7,2,0,3,0,2,5,2,2,1,9,7,6,0,6,1,3,0
1110038B12Rik,128,55,74,74,27,166,174,118,142,152,147,161,196,183,130,151,83,186,97,183,144
1110038F14Rik,254,82,145,175,150,160,180,359,334,294,270,330,353,229,155,229,152,240,147,285,93
1110046J04Rik,3,1,8,5,4,6,0,3,2,0,5,5,8,12,12,6,4,7,3,5,2
1110051M20Rik,65,37,11,49,37,40,63,86,51,33,31,38,51,112,75,113,73,119,68,81,68
1110057P08Rik,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
1110059E24Rik,293,120,176,215,182,126,106,116,122,149,85,141,138,250,120,239,127,197,108,144,73
1110059G10Rik,190,93,86,162,112,111,90,141,175,109,94,108,141,132,80,175,68,117,110,169,114
1110060G06Rik,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110065P20Rik,6,10,23,24,10,13,10,26,4,4,11,15,13,29,10,20,7,5,12,8,7
