"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21"
"NK.27+11b-.Sp#1",-32.1310561695616,9.75403595530641,0.329507216014132,2.56097614041217,-1.12040353722914,8.10082780189605,-1.17195103080214,0.840765589425492,-0.603870213738635,1.93343427862982,-4.13725913675037,3.42767326114139,2.65223362532035,-0.353223776217888,2.39853330130294,-0.844373767241486,1.04270069572661,0.85923033019321,-0.557740654258799,-0.0450362989490609,3.44689554676592e-15
"NK.27+11b-.Sp#2",-32.6738697727037,11.4413918084619,0.579301410509787,1.2594464512577,-0.549285377246321,5.29134141205078,-1.95773382909713,0.761548273064704,-4.22185894781627,2.31704976896647,1.2593121610046,-3.34592907052152,-1.94548966228625,2.15706617710016,-3.52485783991804,0.483321052665397,-1.78212928749655,-0.906796513774123,0.115440256379258,0.0351355611855596,-6.80532019625701e-15
"NK.27+11b+.Sp#1",-35.3205571564062,11.5144337157982,2.78772777247369,-0.992186374000126,0.519789951132022,0.506695329752909,0.104644212155353,-1.3106303054027,7.53739823385921,-1.39579916432776,-0.358702269700262,-0.883114564023792,-3.42286077782611,1.11631594374055,1.07097654886176,1.02681899891744,-1.19597574901848,1.06328384704636,0.823096426197013,0.782161221022611,1.66186508998578e-14
"NK.27+11b+.Sp#2",-34.4865508540171,11.6355556207529,3.44527991718068,-1.02438528408861,0.661570078118956,0.41181731059536,-0.695555487222802,-1.48493850454755,-1.3219000584427,-5.04015162366328,4.77667020138804,0.0313999028532001,2.0051077137769,-3.39019588890526,0.0600587977506651,-0.125518269856669,2.02398259690136,-0.434550346446729,-0.108943170937366,-0.497450731122885,-3.51801920928096e-15
"NK.27-11b+.Sp#2",-35.9931768669641,12.9030357477992,6.35932440428895,-2.30101538978555,1.56298819690498,-12.5221825261708,2.15456323598795,1.36701077699138,-1.63485182341337,2.45413460978832,-1.67195053235958,0.878972697435086,0.764739170222464,0.546513884544403,0.0101020960010199,-0.602942286129442,0.0140895455528485,-0.477143857705587,-0.24090473442098,-0.191956397625018,1.79608931893949e-15
"NKT.19-8-TCRb+CD1daGalCerTet+.Lu#1",2.06729129121022,-22.0444190308888,-2.32057280798432,-17.0712643223297,4.07046833014078,1.4465760163054,-0.848241562880082,1.07649790706821,-0.886919953668962,0.158575495791318,-0.427745610643673,0.228547944163873,-1.28493416187402,-1.61397376403079,2.75778864670743,1.10837822207655,-2.11810369886539,-3.90035939353667,-0.514478280685837,-0.213560630807817,6.47572273582142e-15
"NKT.19-8-TCRb+CD1daGalCerTet+.Lu#2",2.55653462512493,-22.8203150771916,-2.30997288803008,-16.5717008470033,3.54313339559417,0.377075989259381,-1.25456361492169,0.450108236085069,0.401217493050113,-0.108252047875561,0.176871276108955,0.0521429992206921,1.27895281412716,1.89420204852279,-2.57800727522232,-1.29540073293919,2.06333866571128,4.16028159874064,0.567736783522694,0.420593388203209,1.58432295060962e-14
"NKT.19-8-TCRb+CD1daGalCerTet+.Sp#1",4.78373652955136,-19.6363453428657,1.7131903738637,5.75723409569319,-1.65797160083122,-2.4872485341363,-5.58088032893266,-0.671862613746475,-0.42472168641216,-0.243179957268015,-2.65610079250128,-2.74997367471828,0.0409455468063638,-1.84637320999873,-0.0637980489297638,4.54805332203632,1.56337597836176,1.3561285855771,-2.63938621841082,0.362912950869834,7.79758202451575e-15
"NKT.19-8-TCRb+CD1daGalCerTet+.Sp#2",5.83566676306265,-20.3637893200337,2.90389327862158,7.45404878707411,-1.19391966166247,-1.97388242769053,-6.1604962785613,0.580527121774609,-1.24509501835505,0.693837483187866,1.0501335330119,0.67249611711077,-1.71259587309411,-2.44179147038184,1.4273233368252,-3.3718286192946,-2.75691211844157,2.09124120814507,2.60500626256179,0.196834618948873,1.17733513910201e-15
"NKT.19-8-TCRb+CD1daGalCerTet+.Sp#3",5.07392692952524,-20.6230722710187,2.77262455102745,6.63174173243846,-1.59645331445736,-1.00543820049078,-5.33186770845461,1.13416246365106,2.54262211073054,-1.06496286548608,1.33386515879615,2.05170797489303,1.74077842832332,4.37192031534217,-0.974458519948627,-0.862743894914568,1.14565543423523,-3.77436506107793,-0.399823216432908,-0.408126274571869,9.96598636948676e-15
