N	gene	beta	pval
6	0610010F05Rik	-2.51302867903892	0.00225798715612517
80	1600012H06Rik	-2.3200838216751	0.0121669790153931
82	1600014C10Rik	3.24829519470016	0.129380883851583
195	1700017B05Rik	2.06704344728259	1.8365624212458e-07
255	1700025G04Rik	-4.60327819168232	0.000537479598647078
583	1810058I24Rik	-2.41988265126212	0.25207120092054
600	2010016I18Rik	20.6416238168491	8.03872449588824e-07
625	2210016F16Rik	-2.08208812649463	0.0603041639612346
699	2410002F23Rik	7.05521659006508	9.76254824286485e-10
717	2510002D24Rik	2.17549240866624	0.0102634951306377
783	2810001G20Rik	3.02441340103603	0.000414465629587314
785	2810004N23Rik	2.06050492032625	0.057345632854211
893	4632404H12Rik	2.52718868720069	3.71019306213158e-05
898	4632427E13Rik	4.63589374115155	9.14829853405245e-10
916	4833407H14Rik	-2.45841141860203	0.0193992095939157
928	4833420G17Rik	2.79769110991819	9.35485077937566e-05
936	4833439L19Rik	-2.30865733948444	0.871427702410866
1318	4930523C07Rik	21.6127576835875	5.01217925711552e-06
1595	4932438A13Rik	6.035507343698	6.3197902797333e-05
1812	5430427O19Rik	-5.19468811842262	0.0215473089609655
1815	5430431A17Rik	2.17191886493686	0.663077973716416
1849	5830411N06Rik	2.98423007972511	4.42430425146042e-10
1855	5830432E09Rik	-4.54300090781276	0.999999865486721
1858	5830444F18Rik	3.11684788273867	2.43452685431552e-06
2099	9530068E07Rik	-4.85564772949741	0.00220511454549541
2112	9630010A21Rik	-3.86340102983153	0.999999809769497
2138	9930111J21Rik1	2.94134687791365	1.56098501042231e-05
2148	A130010J15Rik	3.13424264286419	1.53820396357637e-06
2156	A130071D04Rik	-6.11146829009789	4.21659216040522e-14
2253	A530021J07Rik	2.47190575140351	3.85507709979533e-07
2280	A630023P12Rik	8.00776889153689	6.31164618464796e-07
2354	A930005H10Rik	5.17755559077427	2.50537243009258e-11
2443	AB124611	-3.9985145120599	1.28007880215343e-06
2445	Abca1	-2.3695750179455	1
2452	Abca2	-3.58380071968034	8.61208726778866e-08
2453	Abca3	3.93985302566873	8.20131271152791e-05
2461	Abcb10	-2.52988420837154	0.163727919193715
2463	Abcb1a	-2.28471914622175	0.000176996005281133
2470	Abcb9	2.54705424558584	8.51532900572908e-13
2477	Abcc5	4.21911227610328	1.35264197848058e-09
2481	Abcd1	-3.69265475983215	0.00536590593046334
2485	Abce1	8.2899544615202	4.81470482076395e-05
2487	Abcf2	4.77860865169091	0.685246984361138
2489	Abcg1	14.3653312608129	7.28038989219914e-10
2490	Abcg2	-3.02409197683334	0.000102146419341293
2491	Abcg3	3.46479615348289	4.03218895532585e-06
2505	Abhd16a	4.3677733525003	7.5400988976325e-09
2511	Abhd2	-7.67526433405685	0.127751909151792
2513	Abhd4	-2.12385342582144	0.958795957526722
2516	Abhd8	11.892167421284	7.04027205333647e-05
2517	Abi1	-4.87999152347407	0.0100435980403032
2524	Ablim1	31.2636086122076	0.109856289783684
2528	Abr	-6.74431108686865	0.00150285332320966
2535	Abtb2	2.58251334997814	2.2065371452581e-07
2552	AC113595.1	-2.07872386095504	0.831471327744053
2605	AC149090.1	-9.63823495295357	0.173349698433038
2657	Acaa2	3.07503516221417	8.72011163165518e-05
2665	Acadl	-4.70242333434981	0.000807977433385454
2671	Acap1	-7.76918242209007	1
2674	Acat1	2.65350688638891	0.349484436486824
2697	Acly	-9.92173269691766	0.000797562889890513
2714	Acot7	-10.9465186742372	1.44776348524632e-07
2724	Acp5	12.6841869118803	4.08814241017044e-05
2731	Acsbg1	-4.19708366455989	2.75271639579985e-09
2738	Acsl4	-4.5200980767753	5.02724318277885e-11
2747	Acss2	-3.76720999302043	0.00147538788283284
2752	Actb	-176.608897185772	0.000297875844889902
2758	Actg1	-20.0461199049232	1.92106033855924e-07
2766	Actn1	4.18020787671711	4.94113909131436e-10
2773	Actr2	-4.07574866583753	3.12911300766678e-07
2774	Actr3	71.8714125741957	3.49063185761104e-10
2778	Actr6	2.06754028204182	2.65297708306509e-05
2797	Adam10	-2.64789722222433	3.65575085099951e-06
2801	Adam17	-4.27230522340789	1
2803	Adam19	2.52111614010844	2.23414159276878e-06
2833	Adamts10	-10.3927077541455	5.21027259090578e-05
2836	Adamts14	-49.0228371883105	7.43141378014407e-07
2859	Adar	2.41351998064088	0.254892771394103
2875	Adcy7	-3.6662695233445	0.999999809769497
2880	Add1	6.93379945322257	1
2882	Add3	4.73351083843996	2.65649788273206e-09
2894	Adgre5	-31.2976377875486	1.08089810909177e-05
2904	Adgrg5	21.2196771912588	3.67332233715952e-08
2914	Adh5	2.44291678305769	1
2920	Adi1	2.96208083763907	1.16892096791251e-06
2923	Adipor1	-6.43548050882	0.970668024399748
2925	Adk	3.38143033055421	0.13270620281229
2930	Adora2a	-7.69352082381446	3.21708049332659e-05
2933	Adpgk	4.34591379579439	0.0114340344731541
2934	Adprh	-3.68659189939469	0.744556410128217
2945	Adrb2	3.27466938086777	0.0112657631892347
2948	Adsl	4.05573031490308	0.000322227551792925
2965	Aff3	2.00758361114643	1.78559260334045e-06
2966	Aff4	2.35605735674026	0.071939319857497
2973	Aftph	2.13159485238304	0.0163180206665995
2992	Ago2	2.33038138318132	1
2997	Agpat3	-10.7606823107854	0.440457208218787
3010	Agtrap	-8.3720056486043	1
3019	Ahnak	-95.3955029835226	0.172859177663006
3035	AI467606	13.7126442663612	0.00145790743144401
3038	AI506816	-9.67213890923722	0.00366713098301551
3059	Aim2	-2.43035057855798	0.000247582816086427
3071	Ak2	4.10220836310192	3.43932230998582e-06
3072	Ak3	-13.2584448362623	0.0022356441655814
3084	Akap13	28.7286742152566	0.00150751531256183
3092	Akap8	5.09425070275636	1.95685608468231e-06
3093	Akap8l	2.28050749581896	0.170705554794132
3099	Akna	-16.4198733627841	4.80290008894305e-06
3106	Akr1b3	2.84616858366629	2.1386314938487e-10
3123	Akt2	-3.49075047752843	6.3881535878217e-07
3161	Alad	-2.34522001414684	1.1244728776111e-05
3178	Aldh3a2	-2.86195969697702	1
3188	Aldoa	20.3385499223836	6.54881150706552e-13
3209	Alkbh1	2.07040069086385	0.0478851274053459
3236	Als2cl	27.7748047629919	2.79303947971652e-11
3272	Ampd1	2.07110973008943	1.06739736945132e-08
3293	Anapc2	-3.33950087311963	0.0194075012356223
3295	Anapc5	7.16512980472323	0.139060989049303
3304	Angel2	4.3999335065442	0.0235310056183689
3305	Angpt1	-2.67651487160307	0.00810611804888866
3335	Ankrd11	-2.67047793021767	0.044928305542154
3337	Ankrd13a	-3.00569292850178	0.156192888008586
3363	Ankrd44	-5.64363404285809	0.00018418713499746
3394	Ano6	3.52779169953779	0.028153689037302
3407	Anxa1	-20.0208565728221	0.072672597387658
3412	Anxa2	-142.34164970758	0.00136032212761993
3416	Anxa6	-20.7931756279021	0.0225816016395392
3420	Aoah	-10.7537556961448	2.82062318336981e-08
3430	Ap1b1	4.67862970299608	8.63474032565208e-08
3435	Ap1s1	2.13839613687275	5.31090086802925e-09
3436	Ap1s2	-2.53417694490412	0.127519755915605
3439	Ap2a2	2.55746434217438	0.0199639239252628
3440	Ap2b1	-2.16201669873692	0.0601904315759944
3441	Ap2m1	-2.07328990271507	5.81087118596232e-10
3444	Ap3b1	-3.4668163583174	1.75088836612425e-05
3459	Ap5m1	-2.19937432426153	0.802554485012423
3462	Apaf1	-2.7477656780105	1.72059621879883e-06
3475	Apeh	-3.05497002203026	0.00521218114059215
3481	Api5	-2.00164845031109	0.630886546464346
3488	Aplp2	-6.34029036568216	0.000419064907887104
3497	Apobec3	-22.2268006006747	0.0397497725888933
3499	Apobr	-6.7817543125323	0.00484564521323463
3504	Apoe	-3.18393925837582	6.99622475136306e-13
3532	Aprt	2.55940914455905	1.91256647260267e-05
3549	Arap1	-4.52201702773827	0.999999767016167
3550	Arap2	-4.73792132745193	0.0155591552077263
3551	Arap3	-8.60271720759648	0.0223304822736311
3555	Arel1	-3.84721754427237	0.0135370216401967
3556	Arf1	-5.64343212105355	2.34717633093598e-11
3559	Arf4	-5.66544171095122	0.0570856978140143
3574	Arglu1	6.77788143669279	0.000187614735496988
3575	Arhgap1	6.99119225289014	0.00113800547300384
3579	Arhgap15	29.8599952958369	4.59681018299759e-08
3581	Arhgap17	-3.19296621051671	0.848457935709775
3582	Arhgap18	-7.43167367434642	1.67052796197751e-07
3590	Arhgap25	-7.96997712288646	0.0595372005045786
3591	Arhgap26	-14.2241655295397	1.95645392974588e-07
