"X"	gene	Excel_gene	exTh17	YFPNeg	Th17	LN_Naive	LN_Memory
1	Gm16088	'Gm16088	0.0305692	0	0	0	0
2	Gm26206	'Gm26206	0	0	0	0	0
3	Gm1992	'Gm1992	0	0	0	0	0
4	Gm22307	'Gm22307	0	0	0	0	0
5	Lypla1,Tcea1	'Lypla1,Tcea1	98.5898	103.018	78.4502	84.1055	95.3741
6	Gm16041	'Gm16041	0.0109401	0.0107909	0	0.00598109	0.0339563
7	Gm17101	'Gm17101	0	0	0	0	0
8	Atp6v1h	'Atp6v1h	35.0122	41.0853	28.8128	42.8326	29.145
9	Oprk1	'Oprk1	0	0	0	0	0
10	Rb1cc1	'Rb1cc1	11.3705	14.5828	9.63256	8.7995	12.2806
11	Fam150a	'Fam150a	0	0	0	0	0
12	St18	'St18	0	0	0	0	0
13	Pcmtd1	'Pcmtd1	6.26389	5.67591	7.2639	8.37639	7.56716
14	Gm9826	'Gm9826	0.170478	0.697662	0.126528	0.12362	0.375866
15	Gm23274	'Gm23274	0	0	0	0	0
16	Gm24276	'Gm24276	0	0	0	0	0
17	Gm24765	'Gm24765	0	0	0	0	0
18	Rrs1	'Rrs1	8.71263	9.72638	3.26861	4.89001	7.261
19	Adhfe1	'Adhfe1	0	0	0	0	0.701169
20	Gm6161	'Gm6161	0	0	0	0	0
21	3110035E14Rik	'3110035E14Rik	0	0	0	0	0
22	1700034P13Rik	'1700034P13Rik	2.52494	1.61492	2.65044	1.09987	1.87177
23	Sgk3	'Sgk3	2.01677	3.81298	2.51208	10.662	2.70945
24	Mcmdc2	'Mcmdc2	0.537753	0.655801	0.161945	0.378753	0.93662
25	Gm15818	'Gm15818	0	0	0	0	0
26	Cspp1	'Cspp1	8.67589	4.6519	19.6433	4.65296	8.82716
27	Gm26348	'Gm26348	0.246507	0.650508	2.21113	0.763378	0.612666
28	Arfgef1	'Arfgef1	1.83496	0.542809	0.0909046	1.33772	2.48085
29	Gm15603	'Gm15603	0	0	0	0	0
30	Gm22963	'Gm22963	0	0	0	0	0
31	Prex2	'Prex2	0.304668	0.380967	0.182059	0.390561	0.332747
32	A830018L16Rik	'A830018L16Rik	0.012335	0.00295674	0	0.0566175	0.00228543
33	Gm22633	'Gm22633	0	0	0	0	0
34	mmu-mir-6341	'mmu-mir-6341	0	0	0	0	0
35	Gm2383	'Gm2383	0	0	0.295249	0	0
36	Gm6216	'Gm6216	0	0	0	0	0
37	Gm17644	'Gm17644	0.00700649	0.0216039	0.0635164	0	0.00441281
38	Sulf1	'Sulf1	0	0	0	0	0.00902625
39	Gm5250	'Gm5250	0	0	0	0	0
40	AC121538.1,Ncoa2	'\AC121538.1,Ncoa2\	1.39387	0.350709	0.611303	1.66181	0.686823
41	AC121538.1	'AC121538.1	0	1.44925	0	0.142636	0
